ms_code,ms_name,PCA1,PCA2,year,cluster,gdp_pp,gdp_tot,pop
FRA,FRANCE,-0.38882970748620244,-0.5859395024896694,1948,0,0.8585858585858587,0.9595959595959597,0.8686868686868687
GBR,UNITED KINGDOM,-0.6296543833732016,-0.7505828863784043,1948,0,0.8787878787878789,0.9696969696969697,0.8787878787878789
GRC,GREECE,-0.6135592068090003,-0.41443865318681655,1948,0,0.7676767676767677,0.6767676767676768,0.4646464646464647
GTM,GUATEMALA,0.010854376143219921,-0.15476035430385846,1948,0,0.4545454545454546,0.595959595959596,0.5976583607080117
HND,HONDURAS,-0.5053563765393224,-0.4961327694149541,1948,0,0.31313131313131315,0.4173392615968784,0.494949494949495
HTI,HAITI,-0.037146799251604946,1.249468458247567,1948,2,0.2019592009155964,0.30303030303030304,0.5252525252525253
IND,INDIA,0.6213612252480439,0.9707244103756341,1948,2,0.27272727272727276,0.9719865976796929,1.0
IRN,IRAN (ISLAMIC REPUBLIC OF),-0.519666023592866,-0.18921780975089206,1948,0,0.4040404040404041,0.7777777777777778,0.8989898989898991
IRQ,IRAQ,-0.3709420285812669,0.04396349649405848,1948,0,0.4444444444444445,0.686868686868687,0.7968312089165054
ISL,ICELAND,-0.3832620242270264,-0.13267647703831198,1948,0,0.9494949494949496,0.39552433385644775,0.08080808080808081
LBN,LEBANON,-0.4283135718958378,0.005510022292795802,1948,0,0.33917328207583936,0.33333333333333337,0.3434343434343435
LBR,LIBERIA,0.27737339614461587,-0.4848718905682743,1948,0,0.071978973564154,0.13131313131313133,0.32323232323232326
LUX,LUXEMBOURG,-0.46051448985338145,-0.5333871764131466,1948,0,0.98989898989899,0.5712727519843749,0.12121212121212122
MEX,MEXICO,-0.4659138413414589,-0.252168839939454,1948,0,0.6565656565656566,0.9292929292929294,0.9400934391278268
MMR,MYANMAR,0.2745257095721821,1.8420102626238708,1948,3,0.14141414141414144,0.5050505050505051,0.8383838383838385
NIC,NICARAGUA,-0.4786014624105667,-0.35078526839497126,1948,0,0.29292929292929293,0.27272727272727276,0.38383838383838387
NLD,NETHERLANDS,-0.5731217186349482,-0.45700176988570873,1948,0,0.9292929292929294,0.8989898989898991,0.5839886559839527
NOR,NORWAY,-0.4738689967896749,-0.5890479434293933,1948,0,0.9718702471753256,0.8181818181818182,0.33333333333333337
NZL,NEW ZEALAND,-0.5865188838778693,-0.6829557531132601,1948,0,0.8686868686868687,0.696969696969697,0.30763098542243916
PAK,PAKISTAN,-0.010819520451853176,1.6451254584881083,1948,3,0.16161616161616163,0.7304038580279077,0.9696969696969697
PAN,PANAMA,-0.5541495136909304,-0.33182108264424787,1948,0,0.70883871908059,0.5532582449119411,0.27272727272727276
PER,PERU,-0.419439496350592,-0.6498353129032685,1948,0,0.5555555555555556,0.7070707070707072,0.7277082215597619
PHL,PHILIPPINES,-0.5277595511568925,-0.41939904858404514,1948,0,0.36363636363636365,0.797979797979798,0.9195516241915367
POL,POLAND,1.7524617185316165,-0.6874593472504821,1948,1,0.7373737373737375,0.8787878787878789,0.7474747474747475
PRY,PARAGUAY,-0.4188871595551946,0.0928133991507063,1948,0,0.48484848484848486,0.4467150973448469,0.393939393939394
SAU,SAUDI ARABIA,0.18417656601890808,0.8416279461361164,1948,2,0.797979797979798,0.888888888888889,0.7171717171717172
SLV,EL SALVADOR,-0.4410106334340313,0.04712444478482522,1948,0,0.43434343434343436,0.4141414141414142,0.37373737373737376
SUN,USSR,1.792332212988271,-0.8069834926518193,1948,1,,,
SWE,SWEDEN,-0.44684964901618274,0.20736312172318583,1948,0,0.9191919191919192,0.8585858585858587,0.48040448114582596
SYR,SYRIAN ARAB REPUBLIC,-0.0013353101156515662,0.7727218698048952,1948,2,0.12719692625169896,0.36363636363636365,0.6565656565656566
THA,THAILAND,0.2698539754178202,1.806613774204357,1948,3,0.5252525252525253,0.8484848484848485,0.8810559953182191
TUR,TURKEY,-0.6323066503218021,-0.1378487034319087,1948,0,0.6464646464646465,0.8947868849222185,0.8917088014780146
UKR,UKRAINE,1.7971905215167105,-0.8294567041849171,1948,1,0.42424242424242425,0.6565656565656566,0.7676767676767677
URY,URUGUAY,-0.4859677540018805,-0.7294476438948918,1948,0,0.7575757575757577,0.5287622815248523,0.25252525252525254
USA,UNITED STATES,-0.577233758966624,-0.8069824825423811,1948,0,0.965323845237695,1.0,0.9797979797979799
VEN,VENEZUELA,-0.12334219487277703,0.34874725459477823,1948,0,0.6771958026986279,0.8080808080808082,0.686868686868687
YEM,YEMEN,0.4900460588526894,1.8259520895638037,1948,3,0.017865269604989617,0.3384695759799278,0.774758218889851
YUG,YUGOSLAVIA,1.7911038715096617,-0.7691484099751337,1948,1,,,
ZAF,SOUTH AFRICA,-0.25349531981172957,-0.6490081965847282,1948,0,0.46940425949847225,0.7575757575757577,0.8585858585858587
AFG,AFGHANISTAN,0.0946289652980358,1.35183750444729,1949,2,0.010101010101010102,0.26373547486727605,0.787878787878788
ARG,ARGENTINA,-0.4801175486904051,-0.42463065290989466,1949,1,0.6666666666666667,0.8687662746567771,0.797979797979798
AUS,AUSTRALIA,-0.5267846171899909,-0.4470981976583007,1949,1,0.9393939393939394,0.9212121405832422,0.6767676767676768
BEL,BELGIUM,-0.5410727415992251,-0.7497816342042912,1949,1,0.9090909090909092,0.8686868686868687,0.5279440265329193
BLR,BELARUS,1.8014698037407892,-0.8515586895456009,1949,3,0.5454545454545455,0.5151515151515152,0.43434343434343436
BOL,BOLIVIA,-0.5098343294343972,-0.4498455434537695,1949,1,0.3434343434343435,0.45494537479854175,0.5356501715748979
BRA,BRAZIL,-0.4907491022523968,-0.3894618690941724,1949,1,0.5926450743543141,0.9494949494949496,0.9595959595959597
CAN,CANADA,-0.6022889623644426,-0.8147776195333825,1949,1,0.8989898989898991,0.9393939393939394,0.7777777777777778
CHL,CHILE,-0.4297965666022775,-0.30443457323815504,1949,1,0.696969696969697,0.7272727272727273,0.6262626262626263
CHN,CHINA,-0.4386912774927155,-0.47900122400873396,1949,1,0.636363636363603,0.98989898989899,0.98989898989899
COL,COLOMBIA,-0.162478829078059,0.5708841025317352,1949,0,0.5151515151515152,0.7474747474747475,0.8308215905882168
CRI,COSTA RICA,-0.4691750239320983,0.22187402111996307,1949,0,0.686868686868687,0.5757575757575758,0.2984380801970379
CSK,CZECHOSLOVAKIA,1.6074587252184567,-0.021105154169743255,1949,3,,,
CUB,CUBA,-0.4867575439471898,-0.4090127700535886,1949,1,0.583932522784131,0.6041273477587553,0.5004690310730107
DNK,DENMARK,-0.5395304004281137,-0.5333422079252097,1949,1,0.9418707557339205,0.787878787878788,0.35465133659955655
DOM,DOMINICAN REPUBLIC,-0.6155120951317187,-0.583930393903647,1949,1,0.5987034312599789,0.6281296639896008,0.5050505050505051
ECU,ECUADOR,-0.335979514572106,0.19792956567876055,1949,0,0.494949494949495,0.6262626262626263,0.5858585858585859
EGY,EGYPT,-0.35296349400240157,0.30118771798663013,1949,0,0.3211742359941483,0.7676767676767677,0.9191919191919192
ETH,ETHIOPIA,0.34525852426593995,-0.10612986894618867,1949,0,0.15151515151515152,0.6464646464646465,0.9393939393939394
FRA,FRANCE,-0.3708281536910777,-0.8220781371821846,1949,1,0.8585858585858587,0.9595959595959597,0.8686868686868687
GBR,UNITED KINGDOM,-0.6542726274542163,-0.8776330808890913,1949,1,0.8787878787878789,0.9696969696969697,0.8787878787878789
