Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Liberia,LBR,4659431,4755608,4848925,4944726,5043721,5149463,5259323,5373294,5493031
"Population, total",SP.POP.TOTL,Libya,LBY,6531819,6632126,6738770,6849055,6951033,7045399,7135175,7223805,7305659
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37494,37716,37962,38246,38563,38901,39182,39493,39850
"Population, total",SP.POP.TOTL,Lithuania,LTU,2904910,2868231,2828403,2801543,2794137,2794885,2800839,2831639,2871585
"Population, total",SP.POP.TOTL,Luxembourg,LUX,569604,582014,596336,607950,620001,630419,640064,653103,666430
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,642900,652500,648400,658900,672000,685400,682500,677300,678800
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1912430,1906313,1898657,1889051,1876262,1856124,1837114,1831712,1827816
"Population, total",SP.POP.TOTL,Madagascar,MDG,25426702,26099952,26788375,27494926,28219554,28953556,29691083,30437261,31195932
"Population, total",SP.POP.TOTL,Malawi,MWI,17085587,17557739,18039715,18528081,19025752,19533888,20047258,20568728,21104482
"Population, total",SP.POP.TOTL,Malaysia,MYS,31232798,31789685,32355644,32910967,33440596,33889558,34282399,34695493,35126298
"Population, total",SP.POP.TOTL,Maldives,MDV,428154,443308,458287,473099,487731,502118,516154,524106,525994
"Population, total",SP.POP.TOTL,Mali,MLI,18593022,19191289,19813011,20442030,21068405,21713836,22388630,23072640,23769127
"Population, total",SP.POP.TOTL,Malta,MLT,445053,455356,467999,484630,504062,515332,518536,531511,552747
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,48800,47709,46529,45285,44007,42706,41367,40077,38827
"Population, total",SP.POP.TOTL,Mauritania,MRT,3965959,4086657,4210600,4337685,4467708,4600131,4734874,4875637,5022441
"Population, total",SP.POP.TOTL,Mauritius,MUS,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523,1261041
"Population, total",SP.POP.TOTL,Mexico,MEX,121072306,122251351,123400057,124573711,125762982,126799054,127648148,128613117,129739759
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,108716,109075,109481,109909,110282,110916,111624,112114,112630
"Population, total",SP.POP.TOTL,Moldova,MDA,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2528654,2457783
"Population, total",SP.POP.TOTL,Monaco,MCO,36757,37276,37678,38154,38109,38050,38527,38931,38956
"Population, total",SP.POP.TOTL,Mongolia,MNG,3026864,3088856,3148917,3208189,3267673,3327204,3383741,3433748,3481145
"Population, total",SP.POP.TOTL,Montenegro,MNE,622159,622303,622373,622227,622028,621306,619211,617213,616177
"Population, total",SP.POP.TOTL,Morocco,MAR,34607588,35023457,35446392,35839760,36210898,36584208,36954442,37329064,37712505
"Population, total",SP.POP.TOTL,Mozambique,MOZ,26547572,27337105,28166393,29018644,29884380,30783688,31707800,32656246,33635160
"Population, total",SP.POP.TOTL,Myanmar,MMR,51089056,51495696,51894938,52272247,52640713,53016522,53387102,53756787,54133798
"Population, total",SP.POP.TOTL,Namibia,NAM,2374300,2439213,2506853,2577327,2650494,2728762,2810548,2889662,2963095
"Population, total",SP.POP.TOTL,Nauru,NRU,10954,11150,11324,11477,11587,11643,11709,11801,11875
"Population, total",SP.POP.TOTL,Nepal,NPL,27823629,27955462,28011258,28079689,28414064,28966574,29475010,29715436,29694614
"Population, total",SP.POP.TOTL,Netherlands,NLD,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982,17877117
"Population, total",SP.POP.TOTL,New Caledonia,NCL,283168,283423,283546,283541,283606,284176,285214,287123,289870
"Population, total",SP.POP.TOTL,New Zealand,NZL,4609400,4714100,4813600,4900600,4979200,5090200,5111300,5117200,5223100
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6149417,6232666,6316231,6400080,6483657,6565267,6644741,6730654,6823613
"Population, total",SP.POP.TOTL,Niger,NER,19939498,20685753,21435446,22188069,22947757,23717613,24502140,25311973,26159867
"Population, total",SP.POP.TOTL,Nigeria,NGA,190671878,195443700,200254579,204938755,209485641,213996181,218529286,223150896,227882945
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,51514,50773,49959,49077,48129,47528,46979,46078,45143
"Population, total",SP.POP.TOTL,Norway,NOR,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127,5519594
"Population, total",SP.POP.TOTL,Oman,OMN,4184895,4390877,4537396,4597877,4591241,4522497,4500424,4730226,5049269
"Population, total",SP.POP.TOTL,Pakistan,PAK,217290883,220138869,223273967,226928892,230800899,235001746,239477801,243700667,247504495
"Population, total",SP.POP.TOTL,Palau,PLW,17770,17797,17812,17814,17798,17792,17783,17759,17727
"Population, total",SP.POP.TOTL,Panama,PAN,3960035,4029086,4098707,4167860,4234700,4293261,4345405,4400773,4458759
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8743246,8961718,9178714,9394513,9609010,9815746,10012896,10203169,10389635
"Population, total",SP.POP.TOTL,Paraguay,PRY,6159103,6249126,6338660,6427382,6515058,6603739,6684182,6760464,6844146
"Population, total",SP.POP.TOTL,Peru,PER,30457600,30866494,31324637,31897584,32449303,32838579,33155882,33475438,33845617
"Population, total",SP.POP.TOTL,Philippines,PHL,105312992,106735719,108119693,109465287,110804683,112081264,113100950,113964338,114891199
"Population, total",SP.POP.TOTL,Poland,POL,37986412,37970087,37974826,37974750,37965475,37899070,36981559,36821749,36687353
"Population, total",SP.POP.TOTL,Portugal,PRT,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10434332,10578174
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3473232,3406672,3325286,3193354,3193694,3281557,3262693,3220113,3205691
"Population, total",SP.POP.TOTL,Qatar,QAT,2344557,2477113,2545820,2580734,2638657,2794148,2504910,2657333,2656032
"Population, total",SP.POP.TOTL,Romania,ROU,19815616,19702267,19588715,19473970,19371648,19265250,19122059,19048502,19059479
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144640716,145015460,145293260,145398106,145453291,145245148,144746762,144236933,143826130
"Population, total",SP.POP.TOTL,Rwanda,RWA,11640022,11919183,12202060,12487996,12776103,13065837,13355260,13651030,13954471
"Population, total",SP.POP.TOTL,Samoa,WSM,201782,203499,205415,207582,209780,211944,213779,215261,216663
"Population, total",SP.POP.TOTL,San Marino,SMR,32897,33101,33825,34522,34663,34770,34252,33755,33860
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,200291,203689,206970,210187,213392,217435,221961,226305,230871
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,29816382,30954198,30977355,30196281,30063799,31552510,30784383,32175224,33264292
"Population, total",SP.POP.TOTL,Senegal,SEN,14593331,15034521,15475002,15914498,16352922,16789219,17220867,17651103,18077573
"Population, total",SP.POP.TOTL,Serbia,SRB,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6664449,6623183
"Population, total",SP.POP.TOTL,Seychelles,SYC,93419,94677,95843,96762,97625,98462,99258,119878,119773
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7037655,7205328,7379299,7554563,7731991,7912558,8094602,8276807,8460512
"Population, total",SP.POP.TOTL,Singapore,SGP,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022,5917648
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,37471,38249,38996,39712,40385,41008,41571,42139,42749
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752,5426740
"Population, total",SP.POP.TOTL,Slovenia,SVN,2063531,2065042,2066388,2073894,2088385,2102419,2108079,2112076,2120461
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,639415,662379,685672,709101,728147,744498,762591,781066,800005
"Population, total",SP.POP.TOTL,Somalia,SOM,13806963,14348740,14916629,15452487,16030971,16651191,17271431,17801897,18358615
"Population, total",SP.POP.TOTL,South Africa,ZAF,56723537,57259551,57635162,58613001,59587885,60562381,61502603,62378410,63212384
"Population, total",SP.POP.TOTL,South Sudan,SSD,11107561,10830102,10259154,10122977,10423384,10698467,10865780,11021177,11483374
